Country,Year,GDP,Life Expectancy,log_GDP,LE_Class
Albania,2021,18086.0,76.4,9.802948727157515,1
Algeria,2021,185850.0,76.0,12.13270055639427,1
Angola,2021,84375.0,62.1,11.34303827995645,0
Antigua and Barbuda,2021,1602.0,76.9,7.3796321526095525,1
Argentina,2021,486040.0,74.6,13.094048261464263,1
Armenia,2021,13879.0,73.0,9.538204234060796,1
Australia,2021,1655843.0,83.1,14.31982140659142,1
Austria,2021,480786.0,81.0,13.083179623568043,1
Azerbaijan,2021,54825.0,72.9,10.911919812973826,1
Bahamas,2021,11369.0,70.4,9.338733586744581,0
Bahrain,2021,40840.0,74.4,10.617441757777067,1
Bangladesh,2021,416265.0,73.1,12.939079757976492,1
Barbados,2021,5275.0,76.8,8.570923513837204,1
Belarus,2021,68207.0,73.1,11.130317139004992,1
Belgium,2021,598892.0,81.5,13.302838230089407,1
Belize,2021,2421.0,73.3,7.792348924113037,1
Benin,2021,17699.0,64.0,9.78131991856192,0
Bhutan,2021,2623.0,74.9,7.8724551500639794,1
Bosnia and Herzegovina,2021,23673.0,74.8,10.072132678513839,1
Botswana,2021,18750.0,61.2,9.839002363309719,0
Brazil,2021,1670650.0,72.4,14.328723928792003,1
Bulgaria,2021,84477.0,71.3,11.344246424417426,0
Burkina Faso,2021,19747.0,62.3,9.890807499378754,0
Burundi,2021,3356.0,64.0,8.118802996980035,0
Cambodia,2021,36797.0,68.9,10.513198774854038,0
Cameroon,2021,45036.0,61.8,10.71523965313516,0
Canada,2021,2022382.0,81.6,14.519787077044915,1
Central African Republic,2021,2585.0,52.3,7.857867559331803,0
Chad,2021,16881.0,59.1,9.734003244543665,0
Chile,2021,315411.0,79.0,12.661634999711849,1
China,2021,18190803.0,77.6,16.71642674962746,1
Colombia,2021,318525.0,74.5,12.671459383315653,1
Comoros,2021,1273.0,67.5,7.149916836132109,0
Democratic Republic of the Congo,2021,55327.0,61.6,10.921034388483017,0
Costa Rica,2021,64954.0,78.6,11.081450001429832,1
Croatia,2021,69055.0,76.9,11.142673048617807,1
Cyprus,2021,30393.0,81.9,10.32200049949355,1
Denmark,2021,408378.0,81.2,12.919950943774287,1
Djibouti,2021,3393.0,64.9,8.129764445794171,0
Dominican Republic,2021,95067.0,73.3,11.462347704001257,1
Ecuador,2021,107179.0,74.0,11.582264943048841,1
Egypt,2021,423300.0,69.1,12.955838788896964,0
El Salvador,2021,29043.0,71.7,10.276567200500137,1
Equatorial Guinea,2021,12222.0,61.6,9.411074701777263,0
Estonia,2021,37229.0,77.1,10.524870166866762,1
Eswatini,2021,4851.0,54.6,8.48714627006394,0
Ethiopia,2021,99261.0,67.8,11.505518098041806,0
Fiji,2021,4305.0,65.5,8.367764677924308,0
Finland,2021,294419.0,81.5,12.592762598312005,1
France,2021,2968405.0,81.9,14.903535666367004,1
Gabon,2021,19455.0,65.1,9.875910784765894,0
Gambia,2021,2045.0,64.2,7.6236419465115715,0
Georgia,2021,18849.0,71.2,9.844268192876157,0
Germany,2021,4351188.0,80.5,15.28595969904945,1
Ghana,2021,79514.0,66.1,11.283700962090016,0
